2026-05-12 11:46:33,773 | INFO | Logging to kg_pipeline/logs/neo4j_postprocess_20260512_114633.log
2026-05-12 11:46:33,815 | INFO | Starting Neo4j postprocess dry_run=True
2026-05-12 11:46:33,815 | INFO | Target database=588fe1bc
2026-05-12 11:46:34,182 | INFO | APOC available=True
2026-05-12 11:46:34,284 | INFO | Step 1: mapping 46 relation types
2026-05-12 11:46:34,285 | INFO | Step 1 done: renamed=0 skipped=46 errors=0
2026-05-12 11:46:34,285 | INFO | Aura cleanup step 1: invert PUBLISHED direction for Organization -> Document
2026-05-12 11:46:34,330 | INFO | Aura step 1 done: count=50 rewritten=0 errors=0
2026-05-12 11:46:34,330 | INFO | Aura cleanup step 2: redirect/delete named Region garbage nodes
2026-05-12 11:46:34,412 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 177, offset: 176} for query: 'MATCH (n:Region) WHERE toLower(trim(n.name)) IN $names CALL {   WITH n   MATCH (m:Region)   WHERE id(m) <> id(n)     AND toLower(trim(m.name)) = toLower(trim(n.name))   RETURN id(m) AS match_id, m.name AS match_name   ORDER BY id(m)   LIMIT 1 } RETURN id(n) AS id, n.name AS name, match_id, match_name'
2026-05-12 11:46:34,412 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 99, offset: 98} for query: 'MATCH (n:Region) WHERE toLower(trim(n.name)) IN $names CALL {   WITH n   MATCH (m:Region)   WHERE id(m) <> id(n)     AND toLower(trim(m.name)) = toLower(trim(n.name))   RETURN id(m) AS match_id, m.name AS match_name   ORDER BY id(m)   LIMIT 1 } RETURN id(n) AS id, n.name AS name, match_id, match_name'
2026-05-12 11:46:34,413 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: CALL subquery without a variable scope clause is deprecated. Use CALL (n) { ... }} {position: line: 1, column: 56, offset: 55} for query: 'MATCH (n:Region) WHERE toLower(trim(n.name)) IN $names CALL {   WITH n   MATCH (m:Region)   WHERE id(m) <> id(n)     AND toLower(trim(m.name)) = toLower(trim(n.name))   RETURN id(m) AS match_id, m.name AS match_name   ORDER BY id(m)   LIMIT 1 } RETURN id(n) AS id, n.name AS name, match_id, match_name'
2026-05-12 11:46:34,413 | WARNING | Received notification from DBMS server: {severity: WARNING} {code: Neo.ClientNotification.Statement.FeatureDeprecationWarning} {category: DEPRECATION} {title: This feature is deprecated and will be removed in future versions.} {description: The query used a deprecated function. ('id' has been replaced by 'elementId or consider using an application-generated id')} {position: line: 1, column: 108, offset: 107} for query: 'MATCH (n:Region) WHERE toLower(trim(n.name)) IN $names CALL {   WITH n   MATCH (m:Region)   WHERE id(m) <> id(n)     AND toLower(trim(m.name)) = toLower(trim(n.name))   RETURN id(m) AS match_id, m.name AS match_name   ORDER BY id(m)   LIMIT 1 } RETURN id(n) AS id, n.name AS name, match_id, match_name'
